GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
42,1.8,11.29,11.73,0.24,0.18,0.0,-0.77,-94.88,10.08,124.52,-31.04,1.89,64.19,-29.15,35.04
43,6.85,6.18,10.5,0.03,0.01,0.0,-0.82,-92.24,7.43,122.47,-31.42,1.89,60.39,-29.52,30.87
44,1.43,5.7,12.53,0.02,0.12,0.0,-0.84,-95.09,9.23,126.76,-29.81,1.88,59.86,-27.93,31.93
45,5.66,5.67,10.97,0.08,0.08,0.0,-0.82,-92.0,9.2,121.91,-30.51,1.89,60.76,-28.62,32.15
46,4.93,7.6,11.07,0.06,0.01,0.0,-0.77,-91.77,8.2,123.39,-31.76,1.9,62.7,-29.85,32.85
47,2.56,8.02,11.59,0.48,0.04,0.0,-0.82,-89.73,9.95,125.27,-35.15,1.89,67.36,-33.26,34.11
48,4.23,8.52,12.02,0.15,0.0,0.0,-0.81,-90.39,8.07,121.19,-31.15,1.9,62.98,-29.25,33.73
49,4.21,6.75,10.73,0.36,0.05,0.0,-0.9,-92.38,10.6,129.5,-34.82,1.88,68.92,-32.94,35.98
50,2.62,9.29,12.52,0.02,0.39,0.0,-0.88,-90.26,9.57,120.38,-31.73,1.89,63.67,-29.83,33.84
51,3.62,5.31,11.31,0.05,0.02,0.0,-0.82,-103.0,8.45,125.71,-24.57,1.89,50.64,-22.68,27.96
52,5.19,7.64,10.13,0.04,0.13,0.0,-0.84,-89.35,7.47,122.74,-33.91,1.91,63.16,-32.01,31.15
53,4.88,8.15,9.86,0.09,0.12,0.0,-0.87,-89.59,8.36,124.83,-33.29,1.89,65.82,-31.4,34.42
54,2.07,6.31,10.79,0.47,0.0,0.0,-0.88,-93.5,8.71,129.75,-33.03,1.89,63.72,-31.14,32.57
55,3.68,6.18,12.81,0.03,0.03,0.0,-0.93,-89.94,9.97,118.59,-31.94,1.87,60.41,-30.07,30.34
56,3.37,11.4,8.22,0.03,0.2,0.0,-0.82,-88.87,13.07,127.31,-39.45,1.89,73.92,-37.56,36.36
57,8.14,6.28,10.15,0.01,0.44,0.0,-0.86,-88.06,7.57,123.26,-36.31,1.9,66.93,-34.41,32.51
58,7.02,4.88,10.7,0.05,0.13,0.0,-0.83,-108.75,8.78,134.88,-26.72,1.9,56.86,-24.81,32.05
59,3.7,7.86,9.44,0.14,0.2,0.0,-0.92,-104.62,8.45,129.58,-25.79,1.87,53.82,-23.92,29.91
60,2.05,10.09,10.58,0.25,0.02,0.0,-0.82,-89.04,8.85,123.18,-32.43,1.89,65.15,-30.54,34.61
61,4.62,9.05,12.59,0.08,0.01,0.0,-0.75,-90.74,6.65,125.37,-33.56,1.91,66.89,-31.65,35.24
62,5.34,6.88,11.4,0.24,0.51,0.0,-0.86,-89.2,8.56,123.61,-34.45,1.89,66.49,-32.56,33.93
63,3.89,7.54,13.44,0.04,0.01,0.0,-0.82,-87.16,9.7,117.22,-31.28,1.91,63.86,-29.38,34.48
64,5.41,12.51,9.67,0.02,0.2,0.0,-0.78,-90.43,9.29,118.82,-32.27,1.91,64.73,-30.36,34.37
65,7.13,8.86,10.27,0.12,0.25,0.0,-0.85,-89.48,10.04,123.27,-35.77,1.89,69.62,-33.88,35.74
66,6.97,8.78,9.9,0.31,0.02,0.0,-0.87,-91.1,8.11,127.13,-35.01,1.88,69.25,-33.13,36.12
67,5.03,10.78,11.66,0.06,0.0,0.0,-0.89,-88.44,9.02,116.5,-33.97,1.89,63.73,-32.08,31.65
68,5.55,7.81,9.94,0.11,0.41,0.0,-0.82,-89.34,6.58,123.0,-33.23,1.9,63.25,-31.34,31.91
69,4.87,8.51,12.39,0.0,0.1,0.0,-0.88,-89.2,10.08,120.33,-32.56,1.88,66.2,-30.68,35.52
70,6.6,5.84,10.14,0.31,0.02,0.0,-0.82,-91.19,8.25,126.85,-34.75,1.9,66.01,-32.85,33.16
71,6.8,7.25,9.6,0.02,0.0,0.0,-0.8,-92.58,6.65,127.37,-31.98,1.9,64.3,-30.08,34.22
72,5.0,6.04,10.83,0.0,0.05,0.0,-0.79,-88.97,9.38,119.86,-33.7,1.9,61.41,-31.8,29.62
73,5.42,11.66,10.12,0.26,0.2,0.0,-0.83,-102.51,10.08,130.57,-31.68,1.89,64.98,-29.79,35.19
74,5.96,6.17,10.42,0.02,0.06,0.0,-0.85,-102.45,6.38,131.07,-27.43,1.89,56.79,-25.54,31.25
75,7.52,7.65,12.48,0.06,0.01,0.0,-0.84,-106.67,7.23,134.11,-27.96,1.9,61.55,-26.05,35.5
76,1.73,9.61,11.14,0.38,0.09,0.0,-0.85,-105.44,10.83,125.85,-24.33,1.89,53.34,-22.43,30.91
77,2.25,7.6,12.47,0.09,0.03,0.0,-0.8,-106.89,7.1,132.06,-25.36,1.9,53.9,-23.46,30.45
78,5.65,7.71,8.93,0.02,0.0,0.0,-0.83,-103.54,7.96,125.28,-25.51,1.9,51.18,-23.6,27.58
79,7.09,9.48,9.99,0.57,0.27,0.0,-0.8,-99.17,6.83,126.63,-28.96,1.9,60.9,-27.06,33.85
